timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1676113695073939,6,2,-18,-11,-12,-19,-8,0
1676113695086932,-5,-1,16,3,-6,3,4,-1
1676113695086932,5,11,10,20,30,24,10,7
1676113695093928,-3,-7,-3,-2,2,-7,2,-3
1676113695093928,-4,-5,-4,-8,-14,-13,-5,-2
1676113695109920,4,2,-9,-12,-12,-33,-8,0
1676113695109920,6,7,12,16,14,-6,14,7
1676113695111918,1,-1,-3,-1,-2,7,-4,1
1676113695111918,0,5,3,2,15,-3,4,1
1676113695133905,-9,-10,-5,-2,4,-12,-5,-8
1676113695133905,1,0,-4,-6,-12,-26,-12,-1
1676113695135904,0,-2,-4,4,2,19,-6,3
1676113695135904,-1,1,3,-2,-10,-90,27,6
1676113695146898,-1,-1,3,2,8,18,-33,-10
1676113695146898,-3,-6,-5,-1,-8,21,8,-1
1676113695153893,-2,-5,-8,-5,-10,56,6,4
1676113695153893,-4,-4,-2,-1,-4,47,-25,-2
1676113695169883,-3,-1,4,9,14,-16,21,-2
1676113695169883,6,4,-3,-4,-11,15,-16,-2
1676113695171884,-3,-3,-4,-13,-21,20,-11,0
1676113695171884,1,0,-5,-6,-12,0,-18,-6
1676113695192871,-2,-3,-2,3,13,-54,-1,3
1676113695192871,-2,-1,-2,-3,-6,-41,13,4
1676113695193871,9,2,-2,-5,0,15,48,10
1676113695193871,3,-3,1,5,11,13,3,-1
1676113695206863,-10,1,-1,0,-2,-19,24,5
1676113695206863,25,-3,-4,-8,-10,-31,-24,-12
1676113695213859,-35,1,-1,1,-2,12,-26,-4
1676113695213859,-20,-3,0,-1,-4,4,-15,-14
1676113695229852,5,-2,-2,-4,-1,-15,8,7
1676113695229852,23,4,4,3,6,-4,34,6
1676113695231851,-1,2,-2,0,-1,11,-3,1
1676113695231851,-18,-2,2,1,0,27,-17,-4
1676113695252838,4,-2,1,-1,0,-3,3,7
1676113695252838,-21,-3,6,-4,-3,-33,-16,-11
1676113695253837,33,3,8,26,7,3,-4,-3
1676113695253837,-3,-13,-43,-36,-12,-18,11,-2
1676113695266830,-6,-8,5,9,0,-9,-5,-4
1676113695266830,1,0,-3,-3,-1,-1,-3,2
1676113695273824,-18,4,14,4,-2,-5,-1,-4
1676113695273824,13,8,14,12,6,6,8,1
1676113695289815,8,0,-1,-2,3,3,-2,-1
1676113695289815,-1,1,6,5,0,2,-11,1
1676113695291815,-2,-7,-9,-8,-3,-5,-2,-3
1676113695291815,9,6,3,2,1,4,4,5
1676113695312803,-1,3,-18,-25,0,18,-9,-8
1676113695312803,-8,-3,2,13,3,8,4,2
1676113695313803,2,-5,21,21,-3,-20,-3,1
1676113695313803,-3,-13,-30,-41,-4,-2,2,0
1676113695325796,-5,-4,-16,5,-5,14,-2,-5
1676113695325796,-6,4,5,-4,0,18,-3,2
