timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1676113746295714,-1.55528,0.664965,2.95475,-1.50056,1.078,3.2041,-1.52731,0.920431,3.05844,-1.54829,0.728831,2.97859,-1.54116,0.8785,2.9956,-1.51853,1.00139,3.07579
1676113746328315,-1.55424,0.674091,2.96118,-1.49859,1.08541,3.21225,-1.52554,0.929057,3.0654,-1.54707,0.737832,2.98515,-1.54344,0.869717,3.03316,-1.51819,1.00454,3.07729
1676113746365451,-1.55337,0.671761,2.96102,-1.49764,1.08194,3.21172,-1.52519,0.927398,3.06306,-1.54633,0.735671,2.98444,-1.54246,0.871993,3.03426,-1.51478,1.01744,3.08518
1676113746401640,-1.46948,1.01528,3.64052,-1.48589,1.09128,3.21415,-1.50197,1.05143,3.39861,-1.51182,1.00427,3.58992,-1.53012,0.908967,3.01128,-1.51301,1.02174,3.09002
1676113746432156,-1.44354,1.01598,3.63089,-1.46817,1.10038,3.2111,-1.491,1.05516,3.39406,-1.49313,1.00929,3.5862,-1.52988,0.940017,2.99465,-1.51068,1.02444,3.10732
1676113746461861,-1.4145,1.0119,3.64487,-1.45354,1.09222,3.25451,-1.48209,1.04959,3.43756,-1.47961,1.0038,3.62998,-1.52989,0.938923,2.99279,-1.51066,1.02773,3.10741
1676113746494249,-1.36959,1.03288,3.63957,-1.40695,1.12617,3.28291,-1.43389,1.08291,3.44938,-1.41916,1.02719,3.6385,-1.52901,0.94064,2.9932,-1.50957,1.0476,3.12586
1676113746529365,-1.37476,1.01509,3.69972,-1.40302,1.12427,3.27371,-1.39843,1.08675,3.45977,-1.41349,1.01586,3.6442,-1.52349,0.971834,2.99297,-1.50508,1.06251,3.11561
1676113746567954,-1.3585,1.03448,3.68284,-1.3817,1.12819,3.26775,-1.38592,1.08913,3.45373,-1.40862,1.02169,3.63886,-1.52165,0.976309,2.98975,-1.4976,1.07255,3.11674
1676113746601842,-1.3351,1.02665,3.69281,-1.36882,1.13006,3.29181,-1.35177,1.09271,3.4423,-1.36439,1.03328,3.63154,-1.52196,0.979719,2.98605,-1.49456,1.08476,3.15318
1676113746649153,-1.2929,1.01709,3.68802,-1.36542,1.13029,3.29074,-1.33183,1.09153,3.44124,-1.32647,1.03194,3.63023,-1.52104,0.995889,2.99371,-1.49354,1.08541,3.15753
1676113746664693,-1.25851,1.02153,3.67151,-1.3585,1.13196,3.29328,-1.29947,1.09865,3.4211,-1.28037,1.04578,3.61113,-1.52023,1.00143,2.99331,-1.49362,1.08697,3.16535
1676113746702337,-1.21987,1.02315,3.68233,-1.35205,1.13224,3.29079,-1.3131,1.09223,3.46071,-1.26221,1.0461,3.63319,-1.52161,1.0028,2.99097,-1.49016,1.09794,3.10448
1676113746732645,-1.21639,1.0339,3.66134,-1.34922,1.13194,3.28947,-1.31075,1.09062,3.47216,-1.24165,1.05998,3.60291,-1.52194,1.00604,2.99104,-1.49035,1.09784,3.10516
1676113746762060,-1.2281,1.01792,3.69997,-1.34488,1.13215,3.28687,-1.28443,1.10043,3.45275,-1.24583,1.04553,3.63951,-1.51618,1.01405,2.98135,-1.48533,1.09002,3.07357
1676113746801875,-1.2297,1.01233,3.676,-1.34233,1.13126,3.28347,-1.28356,1.08644,3.45776,-1.25087,1.03708,3.61541,-1.51889,1.06933,2.96934,-1.48165,1.08517,3.10052
1676113746830731,-1.23943,1.0204,3.66549,-1.3416,1.13127,3.28371,-1.28715,1.0904,3.45244,-1.2561,1.04257,3.6025,-1.51575,1.01239,3.00152,-1.47984,1.08891,3.10247
1676113746863137,-1.23269,1.02113,3.68098,-1.33426,1.13151,3.28528,-1.28526,1.09831,3.46618,-1.24829,1.04697,3.61915,-1.51703,1.01002,2.99983,-1.47287,1.09151,3.11021
1676113746905468,-1.21966,1.00274,3.70139,-1.33375,1.13158,3.28535,-1.27826,1.0991,3.46448,-1.24869,1.03544,3.64828,-1.51824,1.01398,2.99712,-1.48025,1.08314,3.10863
1676113746939714,-1.22449,1.01067,3.67472,-1.33004,1.1315,3.28626,-1.2702,1.09872,3.46441,-1.24867,1.03804,3.61619,-1.51829,1.01088,2.99886,-1.48162,1.08305,3.11237
1676113746970439,-1.22027,1.01136,3.67473,-1.34308,1.12958,3.28564,-1.27111,1.09938,3.46052,-1.24797,1.03788,3.61717,-1.51862,1.01022,2.99973,-1.48807,1.08021,3.12152
1676113747001574,-1.22223,1.01253,3.67454,-1.34354,1.12931,3.28594,-1.29101,1.09735,3.45878,-1.2511,1.03877,3.61722,-1.51957,1.00058,3.00047,-1.48471,1.08504,3.11116
1676113747046586,-1.24806,1.01691,3.62998,-1.33927,1.12449,3.26847,-1.38687,1.07764,3.40886,-1.27813,1.04339,3.57331,-1.51043,0.975494,2.96859,-1.46394,1.08493,3.06903
1676113747076814,-1.24225,1.01686,3.6271,-1.33955,1.12172,3.26134,-1.38176,1.07973,3.40674,-1.27406,1.04325,3.57121,-1.51281,0.934695,2.96854,-1.46666,1.07974,3.08061
1676113747107569,-1.22058,0.993385,3.71948,-1.33953,1.12166,3.2614,-1.30735,1.08733,3.42852,-1.28958,1.02241,3.61591,-1.50949,0.965146,2.97098,-1.46553,1.08102,3.07726
1676113747137751,-1.22995,1.02216,3.65117,-1.33946,1.12153,3.26122,-1.30682,1.08752,3.42907,-1.28511,1.02478,3.61704,-1.50836,0.988417,2.97324,-1.46633,1.08098,3.07827
1676113747167845,-1.21484,1.04976,3.575,-1.33961,1.12142,3.26141,-1.30787,1.08706,3.41843,-1.26531,1.03883,3.58331,-1.50831,0.986934,2.96946,-1.4672,1.08327,3.09125
1676113747205663,-1.24017,1.02364,3.65882,-1.33969,1.11993,3.26548,-1.30124,1.09513,3.39525,-1.29372,1.03669,3.58558,-1.50988,0.97705,2.96417,-1.46597,1.08424,3.07306
1676113747244511,-1.20988,0.993406,3.60062,-1.3394,1.11906,3.26662,-1.3006,1.09498,3.39628,-1.26546,1.03081,3.58163,-1.50939,0.977239,2.96607,-1.46716,1.0829,3.07278
1676113747274935,-1.25416,0.997225,3.59911,-1.33944,1.11872,3.26454,-1.2922,1.09667,3.39189,-1.30976,1.03464,3.58011,-1.50943,0.977208,2.96592,-1.48,1.063,3.12741
1676113747305330,-1.26375,1.02754,3.61595,-1.3432,1.11691,3.26042,-1.2661,1.1033,3.37521,-1.30359,1.0421,3.56069,-1.50914,0.977556,2.9669,-1.48321,1.05991,3.12648
1676113747347946,-1.27505,1.01836,3.63321,-1.34513,1.11599,3.26656,-1.3053,1.09093,3.40236,-1.2953,1.03773,3.56935,-1.50904,0.978378,2.96745,-1.46732,1.08214,3.10883
1676113747367580,-1.25912,1.0337,3.59972,-1.34931,1.11309,3.22323,-1.31576,1.09538,3.37464,-1.29631,1.03962,3.56446,-1.51031,0.980281,2.97187,-1.48347,1.06001,3.08664
1676113747407959,-1.25417,1.03935,3.56753,-1.3249,1.13101,3.19557,-1.27638,1.11076,3.34653,-1.29274,1.04945,3.53489,-1.51214,0.945482,2.97757,-1.47072,1.07426,3.07558
1676113747444002,-1.27033,1.02764,3.62765,-1.35252,1.11663,3.23376,-1.27428,1.11013,3.34825,-1.29587,1.05097,3.53654,-1.5129,0.944409,2.97144,-1.48663,1.05838,3.15464
1676113747468197,-1.26879,1.02714,3.62192,-1.35463,1.11612,3.233,-1.27377,1.11055,3.34557,-1.29547,1.05175,3.53353,-1.50739,0.990216,2.97171,-1.48597,1.06287,3.16561
1676113747504739,-1.26559,1.02452,3.61475,-1.35355,1.11692,3.24169,-1.27205,1.10993,3.36408,-1.29754,1.04712,3.5505,-1.49292,1.01993,3.05792,-1.48579,1.06264,3.16897
1676113747550542,-1.28352,1.02079,3.63257,-1.35328,1.11759,3.24502,-1.29848,1.09353,3.37754,-1.29948,1.039,3.56704,-1.51331,0.985142,2.94757,-1.48412,1.06983,3.14631
1676113747571594,-1.25865,1.03846,3.60315,-1.35097,1.11746,3.24793,-1.26992,1.11055,3.36027,-1.29845,1.0514,3.54719,-1.51368,0.982206,2.9495,-1.4845,1.07106,3.14697
1676113747610723,-1.25292,1.03561,3.59955,-1.35061,1.11741,3.24873,-1.26803,1.11121,3.36004,-1.29566,1.05531,3.54792,-1.51336,0.981776,2.95007,-1.46789,1.08133,3.09177
1676113747645206,-1.26139,1.02633,3.63583,-1.34515,1.11733,3.25169,-1.29846,1.09898,3.39006,-1.2993,1.04776,3.58115,-1.51163,0.981119,2.95595,-1.48431,1.08011,3.1435
